Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Yves Bissouma,TOT,2,180,0.0,0.0,0.0,0.14,0.14,0.03,1.15,1.01,0.07,0.07,0.02,0.09,0.09,0.58,0.50
Gabriel,ARS,2,19,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diego Carlos,AVL,2,32,0.0,0.0,0.0,0.03,0.03,0.00,0.14,0.14,0.09,0.09,0.00,0.09,0.09,0.40,0.40
Boubacar Kamara,AVL,2,180,0.0,0.0,0.0,0.03,0.03,0.01,0.24,0.23,0.01,0.01,0.01,0.02,0.02,0.12,0.11
Youri Tielemans,AVL,2,51,0.0,0.0,0.0,0.00,0.00,0.11,0.14,0.14,0.00,0.00,0.19,0.19,0.19,0.25,0.25
Kenny Tete,FUL,2,178,0.0,0.0,0.0,0.00,0.00,0.07,0.66,0.66,0.00,0.00,0.03,0.03,0.03,0.33,0.33
Moussa Niakhate,NFO,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Richarlison,TOT,2,163,0.0,0.0,0.0,0.23,0.23,0.04,0.4,0.15,0.12,0.12,0.02,0.15,0.15,0.22,0.08
Zanka,BRE,1,1,0.0,0.0,0.0,0.00,0.00,0.28,0.28,0.00,0.00,0.00,25.41,25.41,25.41,25.41,0.00
Philip Billing,BOU,2,180,0.0,0.0,0.0,0.52,0.52,0.02,1.14,0.74,0.26,0.26,0.01,0.27,0.27,0.57,0.37
Lewis Dunk,BHA,2,180,0.0,0.0,0.0,0.11,0.11,0.00,2.78,2.78,0.06,0.06,0.00,0.06,0.06,1.39,1.39
Ederson,MCI,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.29,0.29
Phil Foden,MCI,2,180,0.0,0.0,1.0,0.54,0.54,0.87,1.55,0.82,0.27,0.27,0.43,0.70,0.70,0.78,0.41
Jacob Murphy,NEW,1,1,0.0,0.0,1.0,0.00,0.00,0.55,0.55,0.00,0.00,0.00,49.63,49.63,49.63,49.63,0.00
Victor Lindelöf,MUN,1,42,0.0,0.0,0.0,0.00,0.00,0.00,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.61,0.61
Orel Mangala,NFO,2,161,0.0,0.0,0.0,0.00,0.00,0.02,0.09,0.08,0.00,0.00,0.01,0.01,0.01,0.05,0.04
Nélson Semedo,WOL,2,180,0.0,0.0,0.0,0.02,0.02,0.02,0.54,0.52,0.01,0.01,0.01,0.02,0.02,0.27,0.26
Pau Torres,AVL,2,150,0.0,0.0,0.0,0.00,0.00,0.01,0.14,0.14,0.00,0.00,0.01,0.01,0.01,0.09,0.09
Davinson Sánchez,TOT,1,77,0.0,0.0,0.0,0.11,0.11,0.00,0.14,0.14,0.13,0.13,0.00,0.13,0.13,0.16,0.16
Joachim Andersen,CRY,2,180,0.0,0.0,0.0,0.08,0.08,0.16,1.42,1.36,0.04,0.04,0.08,0.12,0.12,0.71,0.68
Ibrahima Konaté,LIV,2,180,0.0,0.0,0.0,0.03,0.03,0.00,0.66,0.66,0.01,0.01,0.00,0.01,0.01,0.33,0.33
Jadon Sancho,MUN,2,41,0.0,0.0,0.0,0.00,0.00,0.13,0.27,0.14,0.00,0.00,0.28,0.28,0.28,0.60,0.31
Pedro Neto,WOL,2,180,0.0,0.0,0.0,0.63,0.63,0.70,1.44,0.16,0.31,0.31,0.35,0.67,0.67,0.72,0.08
Manuel Akanji,MCI,2,180,0.0,0.0,0.0,0.02,0.02,0.04,1.01,1.00,0.01,0.01,0.02,0.03,0.03,0.51,0.50
Louis Beyer,BUR,1,79,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curtis Jones,LIV,1,17,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rayan Ait Nouri,WOL,2,168,0.0,0.0,0.0,0.33,0.33,0.05,1.19,0.82,0.18,0.18,0.03,0.20,0.20,0.64,0.44
Dejan Kulusevski,TOT,2,180,0.0,0.0,0.0,0.13,0.13,0.08,0.87,0.73,0.07,0.07,0.04,0.11,0.11,0.44,0.36
James Maddison,TOT,2,180,0.0,0.0,2.0,0.31,0.31,1.12,1.78,1.34,0.15,0.15,0.56,0.71,0.71,0.89,0.67
David Brooks,BOU,2,86,0.0,0.0,0.0,0.09,0.09,0.43,0.43,0.00,0.10,0.10,0.45,0.54,0.54,0.45,0.00
Tom Cairney,FUL,1,59,0.0,0.0,0.0,0.02,0.02,0.03,0.1,0.10,0.02,0.02,0.05,0.07,0.07,0.15,0.15
Willy Boly,NFO,2,161,0.0,0.0,0.0,0.34,0.34,0.16,0.19,0.03,0.19,0.19,0.09,0.28,0.28,0.11,0.02
Morgan Gibbs-White,NFO,2,180,0.0,0.0,0.0,0.17,0.17,0.33,0.89,0.70,0.09,0.09,0.17,0.25,0.25,0.45,0.35
William Saliba,ARS,2,180,0.0,0.0,1.0,0.00,0.00,0.04,0.73,0.73,0.00,0.00,0.02,0.02,0.02,0.37,0.37
Pedro Porro,TOT,1,90,0.0,0.0,0.0,0.07,0.07,0.10,0.24,0.17,0.07,0.07,0.10,0.18,0.18,0.24,0.17
Justin Kluivert,BOU,2,52,0.0,0.0,0.0,0.34,0.34,0.06,0.4,0.00,0.59,0.59,0.10,0.69,0.69,0.69,0.00
Hamed Junior Traore,BOU,1,2,0.0,0.0,0.0,0.12,0.12,0.00,0.46,0.34,5.61,5.61,0.00,5.61,5.61,20.84,15.22
Mark Flekken,BRE,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.81,0.81,0.00,0.00,0.00,0.00,0.00,0.41,0.41
Sean Longstaff,NEW,2,31,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matheus Cunha,WOL,2,169,0.0,0.0,0.0,1.29,1.29,0.58,1.26,0.12,0.69,0.69,0.31,1.00,1.00,0.67,0.06
Christian Nørgaard,BRE,2,164,0.0,0.0,0.0,0.01,0.01,0.00,0.66,0.66,0.01,0.01,0.00,0.01,0.01,0.36,0.36
Mathias Jensen,BRE,2,150,0.0,0.0,0.0,0.11,0.11,0.22,1.19,0.96,0.06,0.06,0.13,0.19,0.19,0.71,0.57
Tim Ream,FUL,2,156,0.0,0.0,0.0,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Oliver Skipp,TOT,1,86,0.0,0.0,0.0,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.12,0.12
Jason Steele,BHA,2,180,0.0,0.0,0.0,0.00,0.00,0.00,1.88,1.88,0.00,0.00,0.00,0.00,0.00,0.94,0.94
Ryan John Giles,LUT,1,90,0.0,0.0,0.0,0.00,0.00,0.09,0.09,0.04,0.00,0.00,0.09,0.09,0.09,0.09,0.04
