Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,20,16,2.0,2.0,51.0,12,50,49.35,47.07,12.73,11.97,+35.10,9.05,22.50,251,77,48.35
2,CHE,20,12,6.0,2.0,43.0,14,42,39.26,33.93,18.87,15.82,+18.11,9.17,14.27,209,88,39.60
3,LIV,19,12,5.0,2.0,50.0,16,41,49.70,47.32,17.90,17.90,+29.42,7.54,24.96,236,87,43.60
4,ARS,19,11,2.0,6.0,32.0,23,35,32.00,28.85,27.22,25.70,+3.15,13.66,12.86,150,126,31.63
5,WHU,19,9,4.0,6.0,34.0,25,31,29.67,26.47,25.14,23.62,+2.85,12.41,11.79,114,123,29.99
6,MUN,18,9,4.0,5.0,30.0,26,31,27.64,25.35,28.24,25.96,-0.60,12.31,12.09,134,100,25.40
7,TOT,17,9,3.0,5.0,22.0,20,30,26.26,24.74,21.42,20.65,+4.08,11.60,10.41,112,122,27.24
8,WOL,18,7,4.0,7.0,13.0,14,25,19.23,19.23,24.36,21.31,-2.09,15.63,9.81,83,136,22.15
9,LEI,18,7,4.0,7.0,31.0,33,25,24.77,24.01,31.92,27.25,-3.24,12.23,10.42,124,147,20.38
10,BHA,18,5,9.0,4.0,17.0,18,24,21.15,18.86,21.23,19.71,-0.85,8.93,14.46,134,111,24.82
11,CRY,19,5,8.0,6.0,27.0,27,23,25.23,22.95,20.93,20.17,+2.78,11.57,9.61,116,130,29.37
12,AVL,18,7,1.0,10.0,24.0,28,22,17.92,16.4,27.64,23.73,-7.33,13.22,8.12,118,137,18.87
13,SOU,19,4,9.0,6.0,20.0,29,21,22.50,20.21,29.36,28.60,-8.39,9.46,9.08,104,128,22.58
14,BRE,18,5,5.0,8.0,21.0,25,20,24.47,22.19,21.31,20.55,+1.65,10.36,9.78,105,111,27.68
15,EVE,17,5,4.0,8.0,21.0,29,19,21.64,19.36,27.36,26.60,-7.23,13.99,8.41,89,125,20.77
16,LEE,18,3,7.0,8.0,18.0,36,16,22.21,19.16,33.00,30.72,-11.56,7.77,11.85,105,128,20.16
17,WAT,17,4,1.0,12.0,22.0,35,13,19.17,17.65,33.61,30.57,-12.92,12.87,7.95,72,164,15.15
18,BUR,16,1,8.0,7.0,15.0,24,11,16.22,16.22,25.98,25.98,-9.76,12.91,10.40,79,138,14.92
19,NEW,19,1,8.0,10.0,19.0,42,11,17.83,17.07,37.92,33.19,-16.12,15.81,7.53,76,164,14.19
20,NOR,19,2,4.0,13.0,8.0,42,10,15.54,14.02,35.62,31.05,-17.04,13.78,10.12,96,165,13.90
