Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,26,19,5,2.0,52.0,16,62,52.54,47.21,19.40,15.59,31.62,10.66,21.2,271.0,94.0,57.66
2,MUN,26,14,8,4.0,53.0,32,50,44.16,38.07,29.86,26.81,11.26,10.6,12.97,235.0,125.0,43.99
3,LEI,26,15,4,7.0,45.0,30,49,38.13,30.52,32.19,30.66,-0.14,11.07,12.68,156.0,144.0,40.42
4,WHU,26,13,6,7.0,40.0,31,45,39.04,38.28,30.75,27.71,10.57,17.47,11.32,112.0,198.0,41.17
5,CHE,26,12,8,6.0,41.0,25,44,43.82,37.73,22.70,21.18,16.55,8.72,17.57,215.0,121.0,50.26
6,LIV,26,12,7,7.0,47.0,34,43,48.96,44.39,33.34,27.25,17.14,9.1,20.64,316.0,76.0,46.63
7,EVE,25,13,4,8.0,38.0,33,43,33.48,31.20,34.05,31.77,-0.57,14.19,11.64,127.0,182.0,32.83
8,TOT,25,11,6,8.0,41.0,27,39,35.15,32.87,32.52,27.95,4.91,12.16,11.57,110.0,207.0,35.25
9,AVL,24,12,3,9.0,38.0,26,39,40.83,37.79,30.63,28.34,9.44,11.12,8.59,172.0,191.0,39.54
10,ARS,26,11,4,11.0,34.0,27,37,34.98,31.18,30.03,28.51,2.67,13.66,15.81,199.0,140.0,38.66
11,LEE,26,11,2,13.0,43.0,44,35,41.63,39.35,45.32,40.0,-0.65,6.71,13.92,222.0,173.0,35.51
12,WOL,26,9,7,10.0,27.0,33,34,26.87,23.83,34.84,29.52,-5.69,14.99,11.31,98.0,184.0,30.40
13,CRY,26,9,6,11.0,29.0,43,33,23.08,21.56,41.44,38.4,-16.84,16.83,7.81,145.0,170.0,25.86
14,SOU,26,8,6,12.0,31.0,44,30,26.58,25.06,37.53,33.73,-8.67,9.09,11.02,143.0,185.0,29.14
15,BUR,26,7,7,12.0,18.0,34,28,22.31,21.55,38.40,36.11,-14.56,13.01,9.87,135.0,232.0,24.45
16,BHA,26,5,11,10.0,26.0,33,26,40.98,34.89,28.70,23.37,11.51,10.16,13.25,212.0,136.0,44.45
17,NEW,26,7,5,14.0,27.0,44,26,25.94,22.89,40.21,37.17,-14.27,17.2,8.32,99.0,223.0,27.22
18,FUL,26,4,11,11.0,21.0,32,23,29.69,25.88,38.13,34.32,-8.44,13.01,10.24,142.0,151.0,31.27
19,WBA,26,3,8,15.0,20.0,55,17,19.80,18.28,51.43,46.86,-28.59,17.66,8.47,87.0,234.0,17.28
20,SHU,26,3,2,21.0,15.0,43,11,25.37,22.33,41.87,39.59,-17.26,14.33,11.54,148.0,178.0,23.49
