Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,5,5,0,0.0,14.0,3,15,13.63,12.10,3.69,3.69,8.41,10.88,26.45,64.0,17.0,12.65
2,TOT,5,4,1,0.0,13.0,5,13,10.81,10.81,7.29,6.53,4.28,7.74,11.37,76.0,40.0,9.29
3,LIV,5,4,1,0.0,12.0,4,13,10.97,10.05,6.09,6.09,3.95,12.1,16.67,52.0,36.0,9.76
4,ARS,5,4,1,0.0,9.0,4,13,8.99,7.47,4.13,4.13,3.33,8.9,26.71,59.0,23.0,10.11
5,BHA,5,4,0,1.0,15.0,7,12,12.16,11.40,9.15,8.39,3.01,8.39,18.02,67.0,30.0,8.88
6,WHU,5,3,1,1.0,10.0,7,10,8.27,7.51,10.67,9.91,-2.4,16.93,8.52,25.0,65.0,6.03
7,AVL,5,3,0,2.0,11.0,10,9,10.50,8.97,9.52,9.52,-0.55,16.78,10.98,45.0,37.0,8.21
8,NFO,5,2,1,2.0,7.0,7,7,5.15,5.15,7.51,6.75,-1.6,20.91,7.78,26.0,45.0,5.54
9,CRY,5,2,1,2.0,6.0,7,7,7.85,7.85,7.03,5.51,2.34,10.34,7.84,42.0,36.0,7.44
10,FUL,5,2,1,2.0,5.0,10,7,6.05,6.05,12.75,10.46,-4.41,16.8,14.18,29.0,53.0,3.30
11,BRE,5,1,3,1.0,8.0,6,6,10.03,8.51,6.53,5.76,2.74,9.02,9.85,48.0,33.0,8.51
12,NEW,5,2,0,3.0,8.0,7,6,8.61,7.84,5.52,5.52,2.32,12.18,11.65,34.0,33.0,8.35
13,MUN,5,2,0,3.0,6.0,10,6,9.13,8.37,9.07,9.07,-0.7,13.61,14.58,50.0,44.0,6.74
14,CHE,5,1,2,2.0,5.0,5,5,10.64,9.88,5.95,5.19,4.68,6.54,19.81,72.0,27.0,9.55
15,BOU,5,0,3,2.0,4.0,8,3,6.82,6.82,11.47,10.55,-3.73,10.96,7.3,37.0,71.0,4.09
16,WOL,5,1,0,4.0,5.0,11,3,7.49,7.49,12.18,12.18,-4.69,12.13,9.6,39.0,64.0,4.01
17,SHU,5,0,1,4.0,5.0,9,1,4.10,4.10,12.39,11.63,-7.53,16.32,7.44,18.0,61.0,2.03
18,EVE,5,0,1,4.0,2.0,9,1,8.23,8.23,8.60,7.84,0.39,14.76,12.08,22.0,38.0,6.93
19,BUR,4,0,1,3.0,4.0,12,1,3.42,3.42,8.34,8.34,-4.93,11.69,16.36,20.0,43.0,2.62
20,LUT,4,0,0,4.0,2.0,10,0,5.83,5.07,10.76,10.0,-4.93,24.13,6.87,20.0,49.0,3.38
