Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,ARS,10,9,0,1.0,24.0,10,27,20.30,19.54,10.19,8.67,10.87,10.33,13.53,122.0,40.0,20.55
2,MCI,10,7,2,1.0,33.0,10,23,24.18,23.42,7.81,7.05,16.37,11.64,26.51,128.0,30.0,24.20
3,TOT,10,7,2,1.0,22.0,10,23,17.27,14.99,11.16,10.39,4.59,13.11,15.06,72.0,77.0,17.77
4,CHE,9,6,1,2.0,15.0,10,19,13.34,12.58,13.06,13.06,-0.49,7.79,15.03,68.0,32.0,12.43
5,MUN,9,5,1,3.0,13.0,15,16,13.76,13.00,12.20,12.2,0.8,13.46,12.54,74.0,86.0,13.79
6,NEW,10,3,6,1.0,17.0,9,15,19.19,18.43,13.54,12.78,5.65,9.19,12.52,113.0,68.0,16.52
7,BHA,9,4,2,3.0,14.0,11,14,16.68,14.40,10.49,9.73,4.67,10.38,13.34,78.0,58.0,17.07
8,LIV,9,3,4,2.0,21.0,12,13,19.02,19.02,13.24,11.72,7.3,9.2,20.66,113.0,68.0,15.12
9,BRE,10,3,4,3.0,18.0,17,13,15.19,12.91,15.16,15.16,-2.25,11.68,9.96,60.0,78.0,13.97
10,BOU,10,3,4,3.0,10.0,22,13,6.88,6.88,17.00,14.72,-7.84,19.55,8.24,47.0,111.0,7.79
11,FUL,10,3,3,4.0,16.0,20,12,11.83,9.55,22.97,21.45,-11.89,15.02,11.08,42.0,87.0,8.37
12,WHU,10,3,2,5.0,9.0,11,11,13.22,11.69,10.17,8.65,3.05,19.7,15.85,43.0,51.0,15.92
13,CRY,9,2,4,3.0,10.0,12,10,10.26,9.36,14.68,14.68,-5.32,17.26,7.6,32.0,107.0,9.34
14,EVE,10,2,4,4.0,8.0,11,10,10.89,10.89,17.16,15.64,-4.74,17.14,9.17,49.0,81.0,9.35
15,LEE,9,2,3,4.0,11.0,13,9,12.47,11.71,13.10,12.34,-0.63,7.37,9.48,62.0,56.0,11.99
16,AVL,10,2,3,5.0,7.0,13,9,11.18,11.18,11.91,11.0,0.18,10.92,13.73,69.0,61.0,14.22
17,WOL,10,2,3,5.0,4.0,12,9,9.39,8.63,13.09,11.57,-2.94,14.69,11.94,64.0,73.0,10.83
18,SOU,10,2,2,6.0,9.0,18,8,9.85,9.85,15.59,15.59,-5.74,13.26,7.19,57.0,82.0,9.86
19,LEI,10,1,2,7.0,15.0,24,5,10.03,9.27,15.47,14.71,-5.44,11.97,17.56,69.0,59.0,9.94
20,NFO,10,1,2,7.0,7.0,23,5,10.09,8.57,17.05,14.76,-6.19,15.83,10.36,34.0,91.0,9.60
