Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,ARS,18,15,2,1.0,42.0,14,47,37.67,36.91,16.66,14.38,22.52,9.99,14.22,197.0,80.0,38.70
2,MCI,19,13,3,3.0,50.0,20,42,42.07,39.78,17.49,15.96,23.82,11.06,24.81,250.0,75.0,41.74
3,MUN,19,12,3,4.0,30.0,22,39,32.78,32.02,20.24,19.48,12.55,13.18,14.61,183.0,131.0,34.94
4,NEW,19,10,8,1.0,33.0,11,38,35.90,33.62,20.24,18.72,14.9,9.98,11.21,189.0,110.0,35.12
5,TOT,20,10,3,7.0,39.0,31,33,32.08,29.80,26.71,25.95,3.85,13.56,15.3,143.0,155.0,30.81
6,FUL,20,9,4,7.0,32.0,29,31,28.74,23.41,39.54,37.26,-13.84,14.27,11.3,99.0,146.0,22.42
7,BHA,18,9,3,6.0,35.0,25,30,31.97,29.68,23.45,18.8,10.88,10.84,15.31,164.0,111.0,31.00
8,BRE,19,7,8,4.0,32.0,28,29,30.61,26.81,27.03,26.27,0.54,12.23,9.66,105.0,170.0,30.07
9,LIV,18,8,4,6.0,34.0,25,28,38.51,38.51,30.15,27.87,10.64,10.78,20.87,203.0,118.0,29.04
10,CHE,19,8,4,7.0,22.0,21,28,25.12,23.60,26.56,26.56,-2.96,8.84,14.01,134.0,91.0,25.22
11,AVL,19,7,4,8.0,22.0,27,25,22.94,21.42,28.71,26.28,-4.86,12.62,11.18,114.0,121.0,24.96
12,CRY,19,6,5,8.0,18.0,27,23,19.51,17.84,29.04,29.04,-11.2,14.04,8.86,87.0,184.0,19.77
13,NFO,19,5,5,9.0,15.0,34,20,19.97,18.45,31.66,27.86,-9.41,18.1,9.05,79.0,184.0,19.50
14,LEI,19,5,2,12.0,26.0,33,17,19.67,18.15,27.95,26.43,-8.28,12.34,16.6,112.0,128.0,20.10
15,LEE,18,4,5,9.0,26.0,33,17,26.03,24.51,32.17,30.65,-6.14,8.74,9.92,114.0,119.0,22.27
16,WOL,19,4,5,10.0,12.0,27,17,17.67,16.15,26.22,24.7,-8.55,13.98,11.45,106.0,142.0,19.68
17,BOU,19,4,4,11.0,18.0,41,16,15.61,15.61,33.35,28.78,-13.17,17.31,8.97,91.0,180.0,14.60
18,WHU,19,4,3,12.0,15.0,25,15,23.79,19.22,23.00,20.71,-1.49,16.97,14.38,82.0,116.0,26.11
19,EVE,19,3,6,10.0,15.0,26,15,19.87,19.11,32.55,31.03,-11.92,15.57,9.95,94.0,154.0,17.61
20,SOU,19,4,3,12.0,17.0,34,15,20.27,19.42,28.06,27.29,-7.87,13.03,9.05,112.0,143.0,20.57
