Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32
2,MUN,28,15,9,4.0,55.0,32,54,46.86,40.01,31.88,28.83,11.18,10.91,12.88,247.0,141.0,47.14
3,LEI,28,16,5,7.0,48.0,32,53,40.41,32.80,34.21,32.69,0.11,10.9,12.81,169.0,162.0,43.35
4,CHE,28,14,8,6.0,44.0,25,50,47.62,40.77,23.22,21.7,19.07,8.9,17.31,233.0,131.0,55.38
5,WHU,27,14,6,7.0,42.0,31,48,41.41,39.73,32.10,29.06,10.67,17.32,11.1,114.0,209.0,43.34
6,EVE,27,14,4,9.0,39.0,35,46,35.16,32.87,37.65,34.6,-1.73,14.28,11.69,135.0,195.0,34.62
7,TOT,27,13,6,8.0,46.0,28,45,38.94,36.66,34.25,29.68,6.98,11.75,11.53,122.0,217.0,39.58
8,LIV,28,12,7,9.0,47.0,36,43,49.90,45.34,35.94,29.85,15.49,9.28,20.16,331.0,90.0,47.84
9,AVL,26,12,4,10.0,38.0,27,40,43.23,40.18,33.49,31.21,8.97,11.08,8.96,189.0,196.0,41.93
10,ARS,27,11,5,11.0,35.0,28,38,37.52,33.72,31.14,29.61,4.1,13.57,16.13,207.0,145.0,41.01
11,LEE,27,11,2,14.0,43.0,46,35,42.98,40.70,47.70,41.45,-0.75,6.7,13.93,233.0,175.0,36.13
12,WOL,28,9,8,11.0,28.0,37,35,29.34,26.30,39.06,33.73,-7.44,15.39,11.04,99.0,205.0,32.84
13,CRY,28,9,7,12.0,30.0,47,34,24.39,22.86,44.27,41.22,-18.36,16.68,7.79,149.0,183.0,27.61
14,SOU,27,9,6,12.0,33.0,44,33,28.96,26.67,38.44,34.63,-7.96,9.02,10.88,148.0,190.0,31.58
15,BUR,28,7,9,12.0,20.0,36,30,24.68,23.92,42.17,39.89,-15.97,13.52,9.91,147.0,246.0,26.33
16,NEW,27,7,6,14.0,27.0,44,27,26.39,23.35,41.68,38.63,-15.28,16.88,8.37,105.0,236.0,27.75
17,BHA,27,5,11,11.0,27.0,35,26,41.73,35.64,29.74,24.41,11.23,10.24,12.99,223.0,143.0,45.50
18,FUL,28,5,11,12.0,22.0,33,26,32.23,28.43,40.38,36.57,-8.15,12.96,10.28,153.0,163.0,34.26
19,WBA,28,3,9,16.0,20.0,56,18,22.29,20.76,53.29,48.73,-27.96,17.32,8.59,107.0,248.0,20.54
20,SHU,28,4,2,22.0,16.0,45,14,27.00,23.95,45.69,42.64,-18.69,14.04,11.36,158.0,199.0,24.64
