Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,26,20,3.0,3.0,63.0,17,63,62.57,57.02,18.00,17.24,+39.78,8.79,22.10,336,94,61.17
2,LIV,26,18,6.0,2.0,70.0,20,60,69.65,64.98,23.81,23.81,+41.17,7.90,21.69,314,119,60.02
3,CHE,25,14,8.0,3.0,49.0,18,50,44.00,38.67,23.26,20.21,+18.46,9.14,14.27,241,118,46.67
4,MUN,26,13,7.0,6.0,44.0,34,46,43.76,41.48,37.68,35.40,+6.08,11.82,11.52,201,152,41.02
5,ARS,24,14,3.0,7.0,38.0,27,45,39.68,36.52,31.95,29.66,+6.86,12.87,13.11,200,147,40.84
6,WHU,26,12,6.0,8.0,45.0,34,42,39.88,35.92,34.88,32.60,+3.32,12.14,12.31,165,173,39.48
7,WOL,25,12,4.0,9.0,24.0,20,40,26.68,25.92,33.13,30.09,-4.17,15.20,10.05,108,201,30.50
8,TOT,24,12,3.0,9.0,31.0,32,39,38.05,36.53,32.19,30.67,+5.86,11.97,11.11,172,168,36.82
9,SOU,26,8,11.0,7.0,34.0,37,35,34.24,31.95,39.27,37.75,-5.80,9.64,9.23,146,176,33.23
10,BHA,25,7,12.0,6.0,25.0,28,33,30.27,27.22,29.96,27.67,-0.45,8.72,14.28,189,156,34.84
11,CRY,26,6,11.0,9.0,36.0,37,29,33.23,30.18,31.95,28.91,+1.27,11.18,9.95,149,176,36.82
12,LEI,23,7,6.0,10.0,37.0,43,27,31.93,30.41,41.31,36.65,-6.24,12.96,10.74,156,189,27.00
13,AVL,24,8,3.0,13.0,31.0,37,27,24.73,23.21,35.62,31.70,-8.49,12.04,8.48,166,160,26.10
14,BRE,26,6,6.0,14.0,27.0,42,24,31.88,29.59,33.81,32.29,-2.69,10.76,9.52,145,156,35.79
15,LEE,25,5,8.0,12.0,29.0,56,23,32.30,29.26,49.50,45.70,-16.44,8.06,11.50,151,185,27.99
16,EVE,23,6,4.0,13.0,28.0,40,22,28.86,25.82,36.36,35.60,-9.78,12.29,7.95,121,158,28.08
17,NEW,24,4,10.0,10.0,26.0,45,22,24.18,23.42,42.67,37.95,-14.53,13.69,7.61,103,195,21.94
18,BUR,23,3,11.0,9.0,21.0,29,20,22.65,22.65,35.24,35.24,-12.59,12.88,9.34,102,203,22.31
19,WAT,25,5,3.0,17.0,25.0,47,18,27.62,26.1,42.83,39.79,-13.69,13.37,7.91,115,229,25.51
20,NOR,26,4,5.0,17.0,15.0,55,17,19.56,18.03,52.28,45.96,-27.93,14.65,9.32,122,247,17.54
