Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Balbuena,21,35a,EVE,WHU,1,4.1,DEF,0.6%,-0.2,39.0,1197.0,1.0,0.0,4.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,193.0,260.8,9.0,79.0,35.0,-0.2,0.0,0.0,9.5,2.8,303731.0,291872.0,-4.0,4.0,14,1.0,1.1,1.1,0.0,2.22,2.0,0.08,0.08,0.0,0.08,0.08,0.17,0.15,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,0.0
Benrahma,21,35a,EVE,WHU,1,5.9,MID,0.2%,2.2,57.0,1186.0,0.0,5.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,198.0,221.0,320.3,323.0,86.6,2.2,0.0,0.4,9.7,2.2,68577.0,62995.0,-1.0,1.0,26,0.0,2.13,2.13,3.79,8.93,3.72,0.16,0.16,0.29,0.45,0.45,0.68,0.28,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,2.0
Lingard,21,35a,EVE,WHU,1,6.7,MID,32.1%,7.4,93.0,1063.0,9.0,4.0,3.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,13.0,282.0,430.4,186.0,442.0,105.6,7.4,4.0,1.1,13.9,7.8,3018766.0,447931.0,7.0,-7.0,12,8.0,4.95,3.43,1.73,7.41,3.78,0.41,0.29,0.14,0.56,0.43,0.62,0.32,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,1.0
Masuaku,21,35a,EVE,WHU,1,4.3,DEF,0.4%,1.0,42.0,1006.0,0.0,2.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,209.0,187.4,200.5,62.0,45.0,1.0,1.0,0.2,9.8,3.5,234686.0,242236.0,-2.0,2.0,12,0.0,0.43,0.43,2.6,4.27,1.79,0.04,0.04,0.23,0.27,0.27,0.38,0.16,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,0.0
Haller,21,35a,EVE,WHU,1,6.1,FWD,0.2%,0.0,41.0,932.0,3.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,113.0,169.6,131.6,361.0,66.2,0.0,0.0,0.0,6.7,2.6,60525.0,94379.0,-4.0,4.0,16,3.0,2.55,2.55,1.13,3.66,0.85,0.25,0.25,0.11,0.36,0.36,0.35,0.08,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,0.0
Noble,21,35a,EVE,WHU,1,4.5,MID,0.3%,1.6,26.0,695.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,129.0,80.4,88.6,7.0,17.6,1.6,0.0,0.4,5.8,1.3,15720.0,139276.0,-5.0,5.0,20,0.0,0.05,0.05,0.18,0.78,0.72,0.01,0.01,0.02,0.03,0.03,0.1,0.09,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,0.0
Fredericks,21,35a,EVE,WHU,1,4.2,DEF,0.2%,0.6,27.0,533.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,124.0,152.8,164.9,96.0,41.5,0.6,0.0,0.1,6.4,2.1,23675.0,57354.0,-3.0,3.0,13,1.0,0.21,0.21,1.3,1.02,0.27,0.04,0.04,0.22,0.26,0.26,0.17,0.04,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,1.0
Johnson,21,35a,EVE,WHU,1,3.9,DEF,2.4%,0.8,25.0,516.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,98.0,63.7,28.0,18.9,0.8,0.0,0.2,6.4,1.8,324387.0,348353.0,-1.0,1.0,14,1.0,0.48,0.48,0.39,1.44,0.67,0.09,0.09,0.07,0.15,0.15,0.26,0.12,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,0.0
Lanzini,21,35a,EVE,WHU,1,6.4,MID,0.1%,0.8,27.0,514.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,107.0,112.4,146.2,102.0,35.9,0.8,0.0,0.1,4.2,1.7,18545.0,19571.0,-1.0,1.0,16,1.0,0.97,0.97,1.0,3.01,1.35,0.17,0.17,0.18,0.35,0.35,0.53,0.24,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,1.0
Yarmolenko,21,35a,EVE,WHU,1,5.5,MID,0.1%,0.0,16.0,345.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,50.0,77.6,106.0,23.2,0.0,0.0,0.0,2.9,1.1,4745.0,17788.0,-5.0,5.0,14,0.0,0.31,0.31,0.78,1.42,0.9,0.09,0.09,0.21,0.3,0.3,0.39,0.25,5,34,17,7,10.0,55.0,44,58,51.76,49.32,44.92,41.11,8.21,16.99,11.05,144.0,254.0,51.45,8,1.3636363636363635,1.2727272727272727,1.5757575757575757,1.3245454545454545,1.2324242424242424,1.3324242424242423,1.24,-0.00787878787878788,0.43060606060606066,0.36303030303030304,5.2727272727272725,7.363636363636363,1.3351515151515152,1.0
