Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Mac Allister,21,36,WHU,BHA,1,5.3,MID,0.0%,1.2,44.0,953.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,137.0,161.0,170.3,199.0,52.9,1.2,0.0,0.2,8.3,2.3,4867.0,7758.0,-2.0,2.0,19,1.0,1.21,1.21,1.66,5.17,3.14,0.11,0.11,0.16,0.27,0.27,0.49,0.3,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,0.0
Lamptey,21,36,WHU,BHA,1,4.6,DEF,2.2%,0.0,35.0,887.0,1.0,3.0,2.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,156.0,147.8,162.9,156.0,46.7,0.0,0.0,0.0,7.6,3.2,1223868.0,1312285.0,1.0,-1.0,11,1.0,0.7,0.7,0.81,4.57,3.69,0.07,0.07,0.08,0.15,0.15,0.45,0.37,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,0.0
Alzate,21,36,WHU,BHA,1,4.1,MID,0.6%,0.0,29.0,738.0,1.0,0.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,112.0,117.6,136.9,72.0,32.8,0.0,1.0,0.0,7.1,2.4,203607.0,199988.0,-4.0,4.0,12,1.0,0.77,0.77,0.9,3.24,2.17,0.09,0.09,0.11,0.2,0.2,0.39,0.26,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,3.0
Connolly,21,36,WHU,BHA,1,5.2,FWD,0.3%,0.2,37.0,738.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,103.0,63.3,297.0,46.0,0.2,0.0,0.0,7.1,2.3,84544.0,111731.0,-3.0,3.0,16,2.0,4.41,4.41,0.15,4.72,0.19,0.53,0.53,0.02,0.54,0.54,0.56,0.02,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,0.0
Moder,21,36,WHU,BHA,1,5.0,MID,0.0%,1.2,15.0,373.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.2,50.4,119.0,21.5,1.2,0.0,0.2,3.0,1.7,1742.0,920.0,0.0,0.0,9,0.0,0.81,0.81,0.21,1.38,0.82,0.19,0.19,0.05,0.24,0.24,0.33,0.2,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,2.0
Jahanbakhsh,21,36,WHU,BHA,1,5.4,MID,0.0%,0.8,20.0,355.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,92.0,62.6,130.9,180.0,37.2,0.8,0.0,0.1,3.7,1.1,2481.0,5246.0,-1.0,1.0,18,0.0,1.44,1.44,3.04,4.71,2.3,0.38,0.38,0.81,1.19,1.19,1.26,0.61,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,3.0
Pröpper,21,36,WHU,BHA,1,4.7,MID,0.0%,0.0,9.0,209.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,5.1,52.0,8.2,0.0,0.0,0.0,1.9,1.3,2001.0,7054.0,-3.0,3.0,7,0.0,0.14,0.14,0.0,0.27,0.19,0.06,0.06,0.0,0.06,0.06,0.12,0.09,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,0.0
Zeqiri,21,36,WHU,BHA,1,5.0,FWD,0.1%,0.2,7.0,132.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,7.1,82.0,9.9,0.2,0.0,0.0,1.4,1.0,15750.0,13529.0,0.0,0.0,7,0.0,0.89,0.89,0.0,0.58,0.37,0.71,0.71,0.0,0.71,0.71,0.46,0.3,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,1.0
Tau,21,36,WHU,BHA,1,4.9,MID,0.0%,0.0,3.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.6,11.5,6.0,2.5,0.0,0.0,0.0,0.6,1.5,5309.0,4701.0,-6.0,6.0,2,0.0,0.0,0.0,0.03,0.11,0.08,0.0,0.0,0.04,0.04,0.04,0.12,0.08,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,4.0
Izquierdo,21,36,WHU,BHA,1,5.5,MID,0.0%,0.2,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2,1.3,7.0,1.2,0.2,0.0,0.0,0.2,1.0,10533.0,10543.0,0.0,0.0,1,0.0,0.02,0.02,0.0,0.07,0.05,0.22,0.22,0.0,0.22,0.22,0.86,0.64,17,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64,6,1.5714285714285714,1.2857142857142858,1.6571428571428573,1.5102857142857142,1.4405714285714286,1.3279999999999998,1.219142857142857,0.22114285714285714,0.47257142857142853,0.32,4.314285714285714,7.428571428571429,1.497142857142857,0.0
