Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Oriol Romeu,21,10,MUN,SOU,1,4.5,MID,4.5%,2.2,26.0,770.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,112.0,185.4,103.2,69.0,35.7,2.2,0.0,0.5,5.8,2.9,300784.0,270996.0,0.0,0.0,9,1.0,0.23,0.23,0.29,2.74,2.49,0.03,0.03,0.03,0.06,0.06,0.32,0.29,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,2.0
McCarthy,21,10,MUN,SOU,1,4.5,GKP,20.2%,5.5,40.0,810.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,184.0,237.0,0.0,0.0,23.8,5.5,1.0,1.2,8.9,4.4,631574.0,689405.0,0.0,0.0,9,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.16,0.16,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,2.0
Walker-Peters,21,10,MUN,SOU,1,4.6,DEF,12.0%,4.5,34.0,810.0,0.0,1.0,4.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,179.0,172.8,56.9,54.0,28.5,4.5,1.0,1.0,7.4,3.8,539019.0,468378.0,1.0,-1.0,9,0.0,0.21,0.21,0.48,2.57,2.13,0.02,0.02,0.05,0.08,0.08,0.29,0.24,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,1.0
Ward-Prowse,21,10,MUN,SOU,1,6.0,MID,6.7%,8.2,45.0,810.0,3.0,1.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,195.0,232.4,212.5,71.0,51.6,8.2,2.0,1.4,7.5,5.0,543335.0,362640.0,0.0,0.0,9,3.0,0.65,0.65,1.03,2.31,1.96,0.07,0.07,0.11,0.19,0.19,0.26,0.22,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,11.0
Adams,21,10,MUN,SOU,1,5.9,FWD,4.8%,6.8,48.0,765.0,3.0,4.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,157.0,208.0,134.2,291.0,63.4,6.8,1.0,1.2,8.1,5.3,368669.0,332330.0,-1.0,1.0,9,3.0,3.51,3.51,1.97,4.63,0.72,0.4,0.4,0.23,0.63,0.63,0.53,0.08,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,2.0
Bednarek,21,10,MUN,SOU,1,4.5,DEF,1.9%,3.8,31.0,720.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,162.0,136.8,14.8,58.0,20.9,3.8,0.0,0.8,6.9,3.4,56711.0,123980.0,0.0,0.0,9,0.0,0.24,0.24,0.04,1.75,1.71,0.03,0.03,0.0,0.03,0.03,0.22,0.21,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,8.0
Bertrand,21,10,MUN,SOU,1,5.0,DEF,1.0%,2.5,26.0,708.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,118.0,89.4,126.6,41.0,25.7,2.5,0.0,0.5,5.2,3.2,48258.0,85213.0,0.0,0.0,8,0.0,0.06,0.06,0.51,1.93,1.71,0.01,0.01,0.06,0.07,0.07,0.24,0.22,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,1.0
Vestergaard,21,10,MUN,SOU,1,4.7,DEF,9.8%,5.2,42.0,675.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,191.0,240.6,26.9,71.0,33.9,5.2,0.0,1.1,8.9,5.2,718554.0,74132.0,2.0,-2.0,8,2.0,0.5,0.5,0.61,1.35,1.35,0.07,0.07,0.08,0.15,0.15,0.18,0.18,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,1.0
Ings,21,10,MUN,SOU,1,8.3,FWD,6.2%,4.0,47.0,624.0,5.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,187.0,251.8,84.7,234.0,57.0,4.0,1.0,0.5,5.7,6.7,701534.0,1923522.0,-2.0,2.0,7,4.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.3,0.34,0.07,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,0.0
Armstrong,21,10,MUN,SOU,1,5.5,MID,0.6%,5.0,31.0,601.0,1.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.0,122.2,117.8,77.0,31.7,5.0,1.0,0.9,5.6,4.4,45808.0,28739.0,0.0,0.0,7,1.0,0.66,0.66,0.5,2.02,1.1,0.1,0.1,0.07,0.17,0.17,0.3,0.16,5,9,5,2,2.0,17.0,13,17,10.43,9.67,10.66,9.9,-0.23,8.99,11.95,57.0,41.0,12.52,10,1.625,1.75,1.625,1.35375,0.97375,1.38625,1.00625,-0.0325,1.42875,1.3275,9.125,5.5,1.4025,2.0
